"Kod";"Nazwa";"ogółem;ogółem;2015;[m2]";"ogółem;ogółem;2016;[m2]";"ogółem;ogółem;2017;[m2]";"ogółem;ogółem;2018;[m2]";"ogółem;do 40 m2;2015;[m2]";"ogółem;do 40 m2;2016;[m2]";"ogółem;do 40 m2;2017;[m2]";"ogółem;do 40 m2;2018;[m2]";"ogółem;od 40,1 do 60 m2;2015;[m2]";"ogółem;od 40,1 do 60 m2;2016;[m2]";"ogółem;od 40,1 do 60 m2;2017;[m2]";"ogółem;od 40,1 do 60 m2;2018;[m2]";"ogółem;od 60,1 do 80 m2;2015;[m2]";"ogółem;od 60,1 do 80 m2;2016;[m2]";"ogółem;od 60,1 do 80 m2;2017;[m2]";"ogółem;od 60,1 do 80 m2;2018;[m2]";"ogółem;od 80,1 m2;2015;[m2]";"ogółem;od 80,1 m2;2016;[m2]";"ogółem;od 80,1 m2;2017;[m2]";"ogółem;od 80,1 m2;2018;[m2]";"rynek pierwotny;ogółem;2015;[m2]";"rynek pierwotny;ogółem;2016;[m2]";"rynek pierwotny;ogółem;2017;[m2]";"rynek pierwotny;ogółem;2018;[m2]";"rynek pierwotny;do 40 m2;2015;[m2]";"rynek pierwotny;do 40 m2;2016;[m2]";"rynek pierwotny;do 40 m2;2017;[m2]";"rynek pierwotny;do 40 m2;2018;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2015;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2016;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2017;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2018;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2015;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2016;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2017;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2018;[m2]";"rynek pierwotny;od 80,1 m2;2015;[m2]";"rynek pierwotny;od 80,1 m2;2016;[m2]";"rynek pierwotny;od 80,1 m2;2017;[m2]";"rynek pierwotny;od 80,1 m2;2018;[m2]";"rynek wtórny;ogółem;2015;[m2]";"rynek wtórny;ogółem;2016;[m2]";"rynek wtórny;ogółem;2017;[m2]";"rynek wtórny;ogółem;2018;[m2]";"rynek wtórny;do 40 m2;2015;[m2]";"rynek wtórny;do 40 m2;2016;[m2]";"rynek wtórny;do 40 m2;2017;[m2]";"rynek wtórny;do 40 m2;2018;[m2]";"rynek wtórny;od 40,1 do 60 m2;2015;[m2]";"rynek wtórny;od 40,1 do 60 m2;2016;[m2]";"rynek wtórny;od 40,1 do 60 m2;2017;[m2]";"rynek wtórny;od 40,1 do 60 m2;2018;[m2]";"rynek wtórny;od 60,1 do 80 m2;2015;[m2]";"rynek wtórny;od 60,1 do 80 m2;2016;[m2]";"rynek wtórny;od 60,1 do 80 m2;2017;[m2]";"rynek wtórny;od 60,1 do 80 m2;2018;[m2]";"rynek wtórny;od 80,1 m2;2015;[m2]";"rynek wtórny;od 80,1 m2;2016;[m2]";"rynek wtórny;od 80,1 m2;2017;[m2]";"rynek wtórny;od 80,1 m2;2018;[m2]";
1421000;"Powiat pruszkowski";41682,2;55883,1;85590,9;;3404,3;5151,9;11252,0;;15771,5;19393,5;36133,8;;9992,3;10022,8;16434,5;;12514,1;21314,9;21770,6;;24580,7;36819,7;62433,7;;1167,4;2560,5;8943,5;;8388,8;12247,5;26816,1;;6493,1;6465,8;11268,6;;8531,4;15545,9;15405,5;;17101,5;19063,4;23157,2;;2236,9;2591,4;2308,5;;7382,7;7146,0;9317,7;;3499,2;3557,0;5165,9;;3982,7;5769,0;6365,1;;
1422000;"Powiat przasnyski";4729,6;2868,3;7078,4;;719,2;542,5;625,9;;1837,9;1021,5;3437,2;;1990,1;1113,5;2687,0;;0,0;0,0;328,3;;2455,0;307,4;3046,6;;126,0;0,0;113,4;;892,0;0,0;1537,2;;1437,0;0,0;1234,0;;0,0;0,0;0,0;;2274,6;2560,9;4031,8;;593,2;542,5;512,5;;945,9;970,7;1900,0;;553,1;1047,7;1453,0;;0,0;0,0;0,0;;
1423000;"Powiat przysuski";427,0;774,1;806,2;;0,0;115,8;233,0;;193,0;208,5;511,0;;196,0;338,7;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;427,0;774,1;806,2;;0,0;115,8;233,0;;193,0;208,5;511,0;;196,0;338,7;0,0;;0,0;0,0;0,0;;
1424000;"Powiat pułtuski";5436,2;7144,5;6032,1;;1255,0;985,3;1015,2;;2365,5;3722,4;3740,6;;1598,8;2187,0;1103,0;;0,0;249,8;0,0;;3371,9;4434,1;3175,9;;758,7;492,8;535,2;;1726,4;2502,1;2321,9;;886,8;1439,2;318,8;;0,0;0,0;0,0;;2064,3;2710,4;2856,2;;496,3;492,5;480,0;;639,1;1220,3;1418,7;;712,0;747,8;784,2;;0,0;249,8;0,0;;
1425000;"Powiat radomski";2586,3;2365,0;5012,9;;439,2;527,5;876,2;;1518,7;1166,5;2757,4;;465,2;671,0;1299,2;;0,0;0,0;0,0;;0,0;0,0;406,1;;0,0;0,0;0,0;;0,0;0,0;165,8;;0,0;0,0;201,1;;0,0;0,0;0,0;;2586,3;2365,0;4606,8;;439,2;527,5;837,0;;1518,7;1166,5;2591,6;;465,2;671,0;1098,1;;0,0;0,0;0,0;;
1426000;"Powiat siedlecki";479,9;697,2;1247,6;;73,4;0,0;93,6;;139,5;197,2;0,0;;0,0;0,0;226,4;;0,0;500,0;825,8;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;479,9;697,2;1247,6;;73,4;0,0;93,6;;139,5;197,2;0,0;;0,0;0,0;226,4;;0,0;500,0;825,8;;
1427000;"Powiat sierpecki";2693,7;2412,8;5595,6;;327,5;534,8;489,5;;1582,2;1044,3;4011,2;;531,5;659,2;901,8;;252,5;0,0;0,0;;0,0;0,0;3751,6;;0,0;0,0;175,7;;0,0;0,0;3081,3;;0,0;0,0;494,6;;0,0;0,0;0,0;;2693,7;2412,8;1844,0;;327,5;534,8;313,8;;1582,2;1044,3;929,9;;531,5;659,2;407,2;;252,5;0,0;0,0;;
1428000;"Powiat sochaczewski";5352,0;6433,9;7535,4;;1329,4;1506,7;1421,6;;2136,0;2910,6;3535,0;;1304,5;1924,8;2102,9;;582,1;0,0;475,9;;0,0;309,7;0,0;;0,0;101,6;0,0;;0,0;208,1;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;5246,6;6124,2;7472,4;;1329,4;1405,1;1421,6;;2030,6;2702,5;3535,0;;1304,5;1924,8;2039,9;;582,1;0,0;475,9;;
1429000;"Powiat sokołowski";5683,5;3977,6;8412,8;;869,3;424,5;1140,1;;3202,7;2358,4;5346,8;;1446,6;1194,7;1638,4;;0,0;0,0;287,5;;1973,1;2207,9;2119,1;;140,8;178,4;179,8;;1098,3;1294,2;1108,9;;734,0;735,3;830,4;;0,0;0,0;0,0;;3710,4;1769,7;6293,7;;728,5;246,1;960,3;;2104,4;1064,2;4237,9;;712,6;459,4;808,0;;0,0;0,0;287,5;;
1430000;"Powiat szydłowiecki";856,0;1030,2;2909,6;;184,2;270,3;371,2;;469,5;492,9;1381,5;;202,3;267,0;1156,9;;0,0;0,0;0,0;;0,0;0,0;152,4;;0,0;0,0;110,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;856,0;922,6;2757,2;;184,2;270,3;261,0;;469,5;385,3;1339,3;;202,3;267,0;1156,9;;0,0;0,0;0,0;;
1432000;"Powiat warszawski zachodni";35857,1;18643,3;38487,9;;3117,2;1778,7;1083,1;;12410,7;6021,0;6461,8;;6844,6;4193,6;8843,1;;13484,6;6650,0;22099,9;;22417,9;10009,2;26290,6;;2091,4;826,6;489,8;;8115,8;3265,5;3614,2;;3822,7;2178,5;6703,6;;8388,0;3738,6;15483,0;;13439,2;8634,1;12197,3;;1025,8;952,1;593,3;;4294,9;2755,5;2847,6;;3021,9;2015,1;2139,5;;5096,6;2911,4;6616,9;;
1433000;"Powiat węgrowski";1437,0;1210,0;3780,0;;212,0;259,0;342,0;;438,0;659,0;2184,0;;787,0;208,0;951,0;;0,0;0,0;303,0;;207,0;0,0;2233,0;;0,0;0,0;0,0;;0,0;0,0;1679,0;;0,0;0,0;517,0;;0,0;0,0;0,0;;1230,0;1150,0;1547,0;;178,0;259,0;305,0;;389,0;599,0;505,0;;663,0;208,0;434,0;;0,0;0,0;303,0;;
1434000;"Powiat wołomiński";74701,7;106332,4;101476,9;;6268,4;7386,6;8216,1;;20997,9;25955,9;21555,2;;20026,1;30485,5;36254,3;;27409,3;42504,4;35451,3;;44917,0;78947,5;69047,9;;3017,3;3586,6;3311,6;;10147,8;16052,8;7796,0;;13324,1;23735,4;28513,1;;18427,8;35572,7;29427,2;;29784,7;27384,9;32429,0;;3251,1;3800,0;4904,5;;10850,1;9903,1;13759,2;;6702,0;6750,1;7741,2;;8981,5;6931,7;6024,1;;
1435000;"Powiat wyszkowski";2734,0;7060,8;6484,1;;546,0;1000,6;1187,8;;1512,0;3213,1;2600,8;;676,0;2466,8;2383,9;;0,0;380,3;311,6;;0,0;701,2;3837,1;;0,0;0,0;642,7;;0,0;0,0;1530,2;;0,0;701,2;1581,3;;0,0;0,0;0,0;;2706,0;6359,6;2647,0;;518,0;1000,6;545,1;;1512,0;3213,1;1070,6;;676,0;1765,6;802,6;;0,0;380,3;0,0;;
1436000;"Powiat zwoleński";327,4;155,7;653,9;;101,0;0,0;103,2;;0,0;0,0;490,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;;327,4;155,7;653,9;;101,0;0,0;103,2;;0,0;0,0;490,2;;0,0;0,0;0,0;;0,0;0,0;0,0;;
1437000;"Powiat żuromiński";1515,0;4516,2;3049,8;;171,0;488,2;514,5;;929,3;2173,8;1041,1;;229,5;1496,3;920,5;;0,0;357,9;573,7;;215,3;2434,3;1255,3;;0,0;141,4;311,4;;150,7;1284,0;166,2;;0,0;910,4;397,8;;0,0;0,0;379,9;;1299,7;2081,9;1794,5;;106,4;346,8;203,1;;778,6;889,8;874,9;;229,5;585,9;522,7;;0,0;0,0;0,0;;
1438000;"Powiat żyrardowski";7240,5;8710,0;14422,2;;2136,5;1959,0;3111,2;;3047,0;4319,0;7653,0;;1676,0;1862,0;2935,0;;381,0;570,0;723,0;;1857,0;2887,0;7668,0;;360,0;533,0;998,0;;1058,0;1689,0;4555,0;;439,0;360,0;1492,0;;0,0;305,0;623,0;;5383,5;5823,0;6754,2;;1776,5;1426,0;2113,2;;1989,0;2630,0;3098,0;;1237,0;1502,0;1443,0;;381,0;265,0;0,0;;
1461000;"Powiat m.Ostrołęka";7006,3;12870,9;12024,0;;1243,7;1839,2;1677,0;;3530,6;6668,5;6787,5;;2045,1;3772,5;2627,3;;0,0;590,7;932,2;;1337,2;6145,7;6111,0;;0,0;465,8;635,4;;570,0;3465,2;4092,5;;699,5;2033,1;724,6;;0,0;0,0;658,5;;5669,1;6725,2;5913,0;;1176,0;1373,4;1041,6;;2960,6;3203,3;2695,0;;1345,6;1739,4;1902,7;;0,0;409,1;273,7;;
1462000;"Powiat m.Płock";30176,0;29395,4;40634,9;;5405,0;5474,1;9095,3;;13966,0;15452,7;19237,1;;8483,0;7354,9;9290,3;;2322,0;1113,7;3012,2;;12660,0;9926,7;23192,5;;1145,0;824,2;4307,7;;5471,0;5054,4;11120,9;;4635,0;3545,3;6184,1;;1409,0;502,8;1579,8;;17516,0;19468,7;17442,4;;4260,0;4649,9;4787,6;;8495,0;10398,3;8116,2;;3848,0;3809,6;3106,2;;913,0;610,9;1432,4;;
1463000;"Powiat m.Radom";21535,3;28736,6;47644,4;;2863,8;4760,7;7593,6;;9506,8;11706,3;23523,6;;7009,7;8500,8;13739,6;;2155,0;3768,8;2787,6;;8426,6;9159,4;18617,5;;1314,1;1447,9;1470,5;;3706,0;2438,3;8319,3;;2815,8;3354,2;7117,8;;590,7;1919,0;1709,9;;13108,7;19577,2;29026,9;;1549,7;3312,8;6123,1;;5800,8;9268,0;15204,3;;4193,9;5146,6;6621,8;;1564,3;1849,8;1077,7;;
