"Kod";"Nazwa";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2019;[m2]";
0608000;"Powiat lubartowski";0;1497;5423;1046;274;368;2144;4658;28726;7283;2115;2544;6029;2598;;
0609000;"Powiat lubelski";7682;5723;5447;5587;1995;4565;3349;5486;2769;5260;6619;6170;7364;3135;;
0610000;"Powiat łęczyński";0;0;961;320;575;860;0;532;9938;2834;251;0;1493;0;;
0611000;"Powiat łukowski";1562;425;1467;1645;3035;1682;1482;579;643;2747;742;8094;4924;2632;;
0612000;"Powiat opolski";658;1941;345;783;1886;501;4617;1908;8088;1411;4370;1960;1532;2989;;
0613000;"Powiat parczewski";63;276;576;0;2267;812;3022;2001;556;538;1276;1719;2847;2845;;
0614000;"Powiat puławski";1204;6068;1369;5880;22563;14204;0;8863;2914;891;8836;95;1729;678;;
0615000;"Powiat radzyński";55;4143;2009;137;514;3257;1761;1341;3537;406;1817;3023;5107;47;;
0616000;"Powiat rycki";6005;0;52;778;2751;12176;1666;4476;2144;1649;1960;329;7080;7721;;
0617000;"Powiat świdnicki";5233;4306;3423;351;1360;2450;13295;7388;808;2431;869;2075;9213;248;;
0618000;"Powiat tomaszowski";1063;195;7520;278;0;514;1328;12767;4754;610;506;108;493;1063;;
0619000;"Powiat włodawski";211;56;92;34;0;0;340;1322;1744;970;0;283;0;97;;
0620000;"Powiat zamojski";1387;375;925;82;758;0;1088;2573;3078;6724;3501;4020;0;625;;
0661000;"Powiat m.Biała Podlaska";3742;1305;2224;935;828;3200;384;1570;348;1247;5102;806;2652;5041;;
0662000;"Powiat m.Chełm";224;3385;1555;2380;3739;90;879;204;178;1060;2094;2086;636;2440;;
0663000;"Powiat m.Lublin";16248;9345;9292;14656;6222;10843;26524;8590;7360;6500;50989;31209;110294;45027;;
0664000;"Powiat m.Zamość";221;1802;2849;2314;895;770;0;0;1306;109;1332;251;1116;2525;;
0801000;"Powiat gorzowski";4551;3059;25362;15030;13165;23750;381;2950;3877;9252;5547;30706;10607;9656;;
0802000;"Powiat krośnieński";2560;134;214;539;642;3060;732;1078;2439;0;276;0;390;42665;;
0803000;"Powiat międzyrzecki";1101;1259;42;1235;875;403;2709;5792;11135;1919;3274;5531;1518;22;;
0804000;"Powiat nowosolski";10568;2602;6587;3975;2371;17310;14976;3795;8576;6424;20553;15570;9698;23109;;
0805000;"Powiat słubicki";290;567;896;19444;147;3067;1155;4774;353;4863;7867;6426;18900;36387;;
0806000;"Powiat strzelecko-drezdenecki";4509;672;6129;597;831;706;1933;1730;1011;1054;1556;1246;1183;1156;;
0807000;"Powiat sulęciński";2848;116;1857;150;205;958;656;1693;637;2675;916;1168;271;1342;;
0808000;"Powiat świebodziński";0;2035;2935;2482;355;2058;15038;3793;8857;3195;4460;17236;2250;68037;;
0809000;"Powiat zielonogórski";4453;7522;2276;10480;31039;9497;1900;16047;2239;14825;7220;16216;2669;5593;;
0810000;"Powiat żagański";6649;2645;18073;691;2149;2514;3705;3315;1632;1781;2519;4283;4464;4090;;
0811000;"Powiat żarski";561;2638;8382;2556;38968;8721;1582;3108;2203;5030;9240;5141;6102;1738;;
0812000;"Powiat wschowski";8007;730;503;1347;5530;1749;668;4664;3654;964;0;4834;0;0;;
0861000;"Powiat m.Gorzów Wielkopolski";2946;3549;0;1822;30338;1095;489;820;27194;1764;25690;11993;32550;6294;;
0862000;"Powiat m.Zielona Góra";4664;1554;0;21018;3961;3054;6266;1118;1835;3341;5421;21519;12247;0;;
1001000;"Powiat bełchatowski";4994;3013;1349;387;91;85;630;616;582;0;222;470;0;0;;
1002000;"Powiat kutnowski";657;4443;4355;2353;7199;7930;22177;28967;8873;1534;37608;31955;5128;7890;;
1003000;"Powiat łaski";1305;67;491;6411;0;745;327;515;641;3852;735;1116;4613;0;;
1004000;"Powiat łęczycki";97;91;821;383;969;5084;5247;3536;1277;1033;1290;8799;11179;0;;
1005000;"Powiat łowicki";4562;4239;4196;2280;1622;3601;5280;3943;4648;5191;2202;1482;1236;3271;;
1006000;"Powiat łódzki wschodni";192;294;492;150;604;1295;11416;10731;7727;1219;1230;1622;354;836;;
1007000;"Powiat opoczyński";2453;388;1463;1915;510;4824;563;3894;1368;630;48362;4961;1913;8607;;
1008000;"Powiat pabianicki";9324;13221;6678;7808;11530;7990;12266;16559;13808;4144;5088;10803;8328;5738;;
1009000;"Powiat pajęczański";2538;1566;544;1119;172;1891;8353;9572;2452;514;1788;2202;7425;6410;;
1010000;"Powiat piotrkowski";3065;42713;120830;5976;34939;8396;47222;897;3593;1615;905;345;119978;4383;;
1011000;"Powiat poddębicki";140;169;632;0;8162;666;3128;3751;631;198;0;598;19827;139;;
1012000;"Powiat radomszczański";5887;47011;14380;6080;50215;4391;6797;44313;2525;17350;3287;32446;6756;7768;;
1013000;"Powiat rawski";449;4504;20226;7276;22595;1348;8075;35920;8805;28633;6023;33226;9029;600;;
1014000;"Powiat sieradzki";1185;0;838;2723;115;10353;10423;42442;5967;3866;2519;36810;7066;3788;;
1015000;"Powiat skierniewicki";1662;0;0;181;404;2036;3594;3467;8306;5589;7407;5172;1701;2131;;
1016000;"Powiat tomaszowski";1791;4267;3527;15941;803;2614;827;35242;3694;13444;4053;1940;13031;3481;;
1017000;"Powiat wieluński";824;4488;4976;3674;1058;640;2125;6400;366;2836;1615;3270;2476;3743;;
1018000;"Powiat wieruszowski";371;6207;5002;0;6914;2575;2930;3172;664;4225;6730;4177;7343;11692;;
1019000;"Powiat zduńskowolski";1377;716;25427;224;210;2616;3970;2310;3292;2205;4759;6304;1969;2330;;
1020000;"Powiat zgierski";13322;58866;73796;90027;105169;66596;25078;37477;30217;75966;25142;129655;150172;105020;;
1021000;"Powiat brzeziński";2266;501;1224;4150;263;2193;340;1804;1112;417;4246;5920;0;3589;;
1061000;"Powiat m.Łódź";27729;23622;76516;114290;34755;31247;14951;37418;15682;18598;23313;33825;46248;160055;;
1062000;"Powiat m.Piotrków Trybunalski";35248;47469;46995;75657;23510;4985;8006;6420;2560;2357;4100;2474;1308;1070;;
1063000;"Powiat m.Skierniewice";4880;6510;1229;9053;10252;3599;1376;1503;1371;4450;1331;66;1136;868;;
1201000;"Powiat bocheński";2913;1064;9567;204;815;3627;14076;5179;1775;3904;3029;2975;4409;11958;;
1202000;"Powiat brzeski";0;1243;24178;927;2148;4029;2482;1519;1523;2985;2210;189;2885;0;;
1203000;"Powiat chrzanowski";8874;952;821;5253;1683;4472;2566;3869;783;2203;9775;4764;2335;7710;;
1204000;"Powiat dąbrowski";61;49;1538;2238;856;750;548;805;1471;4217;949;841;727;0;;
1205000;"Powiat gorlicki";0;1506;2133;1889;1788;172;2128;1941;815;3490;2218;2935;3201;4048;;
1206000;"Powiat krakowski";210;11473;36200;39561;8221;21146;114;34305;1008;47524;53176;54456;62775;28229;;
1207000;"Powiat limanowski";1636;1402;2495;8743;6527;3721;3299;427;890;6274;5069;4324;2575;5289;;
1208000;"Powiat miechowski";188;0;0;0;1339;828;1020;0;0;2996;0;74;16;0;;
1209000;"Powiat myślenicki";12222;673;12332;12233;6527;1722;6600;8327;12994;19191;9234;9339;7463;19454;;
1210000;"Powiat nowosądecki";342;9800;3652;6278;3692;19827;4546;26014;11994;684;2105;480;0;1735;;
1211000;"Powiat nowotarski";962;1534;1144;1218;2783;1182;1218;1886;4653;2333;8409;4006;4909;19701;;
1212000;"Powiat olkuski";1524;4494;15284;9861;1587;8235;872;1261;2464;4034;2376;1274;24696;7905;;
1213000;"Powiat oświęcimski";83;1749;15886;25975;6330;3028;1860;4641;2586;6374;14711;17582;5091;9104;;
1214000;"Powiat proszowicki";0;1332;2082;0;1720;92;4059;1284;1994;817;1544;201;199;1342;;
1215000;"Powiat suski";934;189;2853;0;542;2063;521;2046;1396;1928;392;0;863;3825;;
1216000;"Powiat tarnowski";9643;0;0;9280;3533;11293;7739;5772;9517;3041;7461;4312;9049;4223;;
1217000;"Powiat tatrzański";0;0;0;0;0;0;0;0;573;0;0;0;0;318;;
1218000;"Powiat wadowicki";5944;3244;7025;6066;8702;1031;6146;5604;9716;2111;4678;7408;4739;7131;;
1219000;"Powiat wielicki";1619;10918;6157;5461;11111;5140;4349;11338;9974;8381;13143;7741;46525;37107;;
1261000;"Powiat m.Kraków";16935;29263;21978;31903;13638;41317;35814;23098;17930;18248;3920;18026;32934;12367;;
1262000;"Powiat m.Nowy Sącz";839;3236;7083;387;497;1083;2406;8557;4052;1466;480;3723;7248;6548;;
1263000;"Powiat m.Tarnów";21014;2224;6860;3251;5237;9299;3452;4549;2988;910;10787;17094;2515;1381;;
1401000;"Powiat białobrzeski";831;2540;2550;323;430;796;3743;0;705;329;6436;0;3025;90;;
1402000;"Powiat ciechanowski";1362;4317;5687;14898;3451;6228;5699;1381;1973;2667;2192;3726;1224;148;;
1403000;"Powiat garwoliński";1681;11378;7170;32866;7841;7436;7577;2899;6944;11347;4725;11128;6496;28697;;
1404000;"Powiat gostyniński";4084;428;573;3205;1184;1234;2560;2077;938;847;1736;5741;1407;964;;
1405000;"Powiat grodziski";7844;19597;14489;1278;16154;2764;1100;2815;1347;4504;8997;3395;87725;26422;;
1406000;"Powiat grójecki";10147;1743;557;879;2130;14495;5315;16074;34857;37963;5103;25223;5284;9193;;
1407000;"Powiat kozienicki";383;548;1214;562;1348;3523;4437;2629;9333;1650;4778;1742;2148;4645;;
1408000;"Powiat legionowski";866;11097;4312;6143;6675;890;144;521;11086;0;2404;1050;701;0;;
1409000;"Powiat lipski";447;1390;2839;2060;596;991;1070;533;341;780;2763;4207;0;0;;
1410000;"Powiat łosicki";91;565;1787;3362;7086;961;552;853;468;465;393;3365;4822;4307;;
1411000;"Powiat makowski";969;572;95;2135;1583;215;1747;1051;7858;0;0;0;3942;1249;;
1412000;"Powiat miński";3063;1862;4447;7691;4292;3607;17435;14121;2450;3331;4640;8936;14484;60947;;
1413000;"Powiat mławski";10041;4174;20296;0;1070;5974;1999;3651;1352;2433;2697;3633;11779;4874;;
1414000;"Powiat nowodworski";1146;2531;15397;8566;18265;13013;20074;6151;2462;5462;4170;68221;31324;19082;;
1415000;"Powiat ostrołęcki";1154;2950;8282;4683;2189;629;1606;2761;1935;4364;4271;5894;1719;4060;;
1416000;"Powiat ostrowski";4646;3722;6680;4763;5289;5346;6303;330;5043;14818;19230;3046;6403;6410;;
1417000;"Powiat otwocki";6081;4607;3140;11897;10702;13072;17395;17792;14976;8792;10554;24135;3645;11203;;
1418000;"Powiat piaseczyński";35920;55682;58159;131097;48558;32028;76960;28005;45558;49697;32497;39438;19494;22718;;
1419000;"Powiat płocki";2021;3163;1942;493;2362;1273;364;10323;488;5442;4008;2965;2732;3529;;
1420000;"Powiat płoński";2585;9011;3731;5581;5511;1185;3402;7537;1335;1914;11387;2223;26834;8602;;
1421000;"Powiat pruszkowski";64000;70710;43414;30689;75597;38983;9470;26920;46852;32644;8867;104541;71754;81922;;
1422000;"Powiat przasnyski";3356;1556;0;2944;1064;683;117;713;390;1821;1120;74;191;3660;;
1423000;"Powiat przysuski";285;76;0;0;1234;1897;2199;1192;1573;53;815;62;1574;1491;;
1424000;"Powiat pułtuski";924;2458;1117;192;1372;319;3659;3887;308;2206;0;693;1985;4316;;
1425000;"Powiat radomski";1318;2834;809;0;2576;359;0;1875;378;293;872;1216;458;7282;;
1426000;"Powiat siedlecki";4030;3987;11254;0;599;3301;1422;8609;6268;2091;9129;4616;14113;3670;;
1427000;"Powiat sierpecki";1982;0;1516;2153;296;2502;1620;2418;96;477;625;424;686;32;;
1428000;"Powiat sochaczewski";50544;3178;113864;33087;6234;15093;4997;1802;7657;1142;1760;6160;4317;4695;;
1429000;"Powiat sokołowski";711;5868;684;4312;4578;0;5828;3605;2308;3781;7812;5894;10749;7543;;
1430000;"Powiat szydłowiecki";239;0;162;0;1652;0;623;1869;185;1084;62;497;269;1621;;
1432000;"Powiat warszawski zachodni";61317;98987;42642;186544;244925;79374;56952;44322;43188;44020;91418;134866;185455;136464;;
1433000;"Powiat węgrowski";2605;296;3362;725;508;883;2378;1460;3835;1170;5018;1513;3090;983;;
1434000;"Powiat wołomiński";23298;17768;6167;12589;12156;5308;12683;14001;1166;17498;26360;7394;10848;33819;;
1435000;"Powiat wyszkowski";379;249;1315;116;2901;11327;533;1233;3492;1513;2180;563;8438;2281;;
1436000;"Powiat zwoleński";65;196;0;0;392;746;1890;1843;1780;1311;5382;1826;2277;352;;
1437000;"Powiat żuromiński";253;732;14044;275;314;1436;3504;431;3514;3304;11994;1730;1868;2226;;
1438000;"Powiat żyrardowski";19014;6424;40803;49484;6616;10612;4401;3229;5426;1290;57279;6340;25589;2758;;
1461000;"Powiat m.Ostrołęka";7810;250;1602;2297;1257;5127;1241;792;7665;3825;6065;1120;339;5154;;
1462000;"Powiat m.Płock";2502;759;6891;4913;4096;2185;2821;2883;9097;2576;9383;978;11150;5009;;
1463000;"Powiat m.Radom";9926;9164;8960;13043;9609;12667;7896;44271;17088;31461;17131;36146;20929;21875;;
1464000;"Powiat m.Siedlce";7441;2358;2525;2107;4224;1524;1758;1399;645;7545;2116;6548;5330;5697;;
1465000;"Powiat m. st. Warszawa";31374;19729;103823;47907;90672;28487;53915;55760;39910;21495;22233;45456;54346;23355;;
1601000;"Powiat brzeski";0;745;5337;7586;3658;2603;1331;4956;10352;2056;2072;471;6767;2415;;
1602000;"Powiat głubczycki";23;0;11859;402;537;1403;5312;2171;4801;9020;10542;2982;737;20620;;
1603000;"Powiat kędzierzyńsko-kozielski";4339;0;5140;2475;9069;1034;3852;7310;6452;5322;4932;2404;6379;1557;;
1604000;"Powiat kluczborski";549;1352;0;379;252;78;2779;4081;222;3236;424;2347;3471;4780;;
1605000;"Powiat krapkowicki";20;0;6316;2584;6538;2269;408;6079;11280;1010;4139;6316;33456;29246;;
1606000;"Powiat namysłowski";953;683;5020;8219;302;1342;3688;0;1013;0;4930;3119;420;405;;
1607000;"Powiat nyski";5464;327;2072;1822;2642;9514;8301;6577;4986;4771;5235;6173;569;2437;;
1608000;"Powiat oleski";3274;885;609;2263;1075;1594;5876;1344;969;2041;2944;4005;3066;8327;;
1609000;"Powiat opolski";2305;7899;4949;11245;19504;5964;4547;2506;17191;6700;17168;14363;36926;14231;;
1610000;"Powiat prudnicki";403;2115;2496;374;628;4583;203;140;0;3435;5551;4997;1045;2140;;
1611000;"Powiat strzelecki";188;216;3385;0;0;0;24;19734;1632;4543;10078;1965;12036;4540;;
1661000;"Powiat m.Opole";56;0;684;1317;2600;2079;7044;4095;6522;46312;1121;12253;11965;2535;;
1801000;"Powiat bieszczadzki";719;280;627;0;838;381;0;0;0;6;615;253;0;0;;
1802000;"Powiat brzozowski";0;0;227;895;513;1397;1732;0;0;608;483;1302;147;0;;
1803000;"Powiat dębicki";9881;22083;3766;32328;1872;3638;15962;4566;9086;36566;19625;18520;33201;12318;;
1804000;"Powiat jarosławski";1337;1480;1640;2623;535;1630;2439;4773;2629;1859;1738;14605;2183;8352;;
1805000;"Powiat jasielski";575;1118;3631;184;739;1946;387;1897;109;178;1058;875;880;5147;;
1806000;"Powiat kolbuszowski";4527;911;201;6932;692;252;536;1156;44;183;735;1771;1976;1931;;
1807000;"Powiat krośnieński";2080;994;244;117;431;1062;428;142;267;1536;2906;2469;6176;272;;
1808000;"Powiat leżajski";1847;464;565;0;1168;96;3111;433;84;491;300;288;2129;392;;
1809000;"Powiat lubaczowski";83;689;20;1029;205;390;491;99;1023;1148;3507;1178;813;231;;
1810000;"Powiat łańcucki";3115;7399;1473;117;0;803;7008;7973;9702;1786;9662;8836;6173;10244;;
1811000;"Powiat mielecki";30882;1718;4957;10588;18910;562;309;202;612;200;2253;29401;5930;21509;;
1812000;"Powiat niżański";206;3402;794;1433;3199;9954;4634;3842;518;6042;1428;3050;1427;6354;;
1813000;"Powiat przemyski";1404;0;0;698;458;0;247;1447;1092;0;0;1454;1602;0;;
1814000;"Powiat przeworski";3035;0;0;270;579;114;763;423;1294;1091;1500;1196;603;0;;
1815000;"Powiat ropczycko-sędziszowski";710;1955;5268;1596;11184;596;1466;639;1261;8157;297;1375;1289;4418;;
1816000;"Powiat rzeszowski";11607;6067;5943;16434;16363;7192;10415;10693;16393;11933;36138;36149;30715;4795;;
