"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
0601000;"Powiat bialski";24090;46198;134836;43644;44497;39992;49845;47659;48885;76946;66073;76156;82751;81696;;
0602000;"Powiat biłgorajski";17202;8647;39938;14127;31077;24007;18175;25823;9926;18202;17483;19859;13222;27760;;
0603000;"Powiat chełmski";8896;8214;11106;10390;12201;5204;5915;13410;10654;10705;17267;7177;19185;14057;;
0604000;"Powiat hrubieszowski";7570;7060;10826;2202;9799;17816;10660;12831;10768;15750;8028;6514;16954;21474;;
0605000;"Powiat janowski";3905;2108;6369;8390;1842;4329;4646;17029;4839;9257;17147;5842;8973;5560;;
0606000;"Powiat krasnostawski";13805;6471;12588;11610;11117;11675;17022;10346;22414;10308;14570;14351;18205;15413;;
0607000;"Powiat kraśnicki";12336;10123;8080;8387;6259;3412;14411;10927;20410;20789;28040;10623;15303;14112;;
0608000;"Powiat lubartowski";11899;9470;19504;12954;26208;21178;15068;29508;49764;19252;20309;34884;22114;21316;;
0609000;"Powiat lubelski";28435;49062;79663;31521;30872;45901;43607;146737;46847;41322;47806;23597;30396;34748;;
0610000;"Powiat łęczyński";4812;3260;9326;11601;6402;11677;9765;12377;16180;12763;5036;5449;10341;7048;;
0611000;"Powiat łukowski";16867;11922;19134;20902;21359;22443;22550;28121;17614;38342;46345;34084;28801;67648;;
0612000;"Powiat opolski";4296;9921;4466;14067;33229;14442;25383;41032;28712;49295;43993;26983;40079;40672;;
0613000;"Powiat parczewski";20040;10476;13618;10695;13713;11634;10729;15885;49551;16047;39215;22503;18657;13882;;
0614000;"Powiat puławski";14829;44740;15007;19716;54860;33514;53588;39456;23070;17897;34554;8952;12376;21200;;
0615000;"Powiat radzyński";11277;33257;22608;38326;19725;31919;24556;13846;32046;26470;10109;43318;28989;21444;;
0616000;"Powiat rycki";11708;5675;4389;41515;29155;18691;6971;15510;17776;19543;53560;6661;51907;14939;;
