"Kod";"Nazwa";"sektor prywatny - ogółem;2003;[-]";"sektor prywatny - ogółem;2004;[-]";"sektor prywatny - ogółem;2005;[-]";"sektor prywatny - ogółem;2006;[-]";"sektor prywatny - ogółem;2007;[-]";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
1412000;"Powiat miński";760;701;825;871;1029;1075;1147;1354;1212;1243;1271;1302;1138;1089;1169;1377;
1413000;"Powiat mławski";534;381;427;443;430;578;500;594;456;485;518;497;484;404;446;516;
1414000;"Powiat nowodworski";419;382;415;508;530;543;527;825;683;686;634;627;606;573;622;693;
1415000;"Powiat ostrołęcki";376;290;345;399;356;465;430;581;551;575;643;678;555;534;598;620;
1416000;"Powiat ostrowski";349;281;372;424;386;486;484;578;388;488;481;541;487;451;495;486;
1417000;"Powiat otwocki";787;732;762;995;927;1096;993;1526;1264;1220;1262;1302;1096;1033;1008;1160;
1418000;"Powiat piaseczyński";1277;1254;1421;1574;1850;1940;2144;2814;2423;2648;2706;2679;2233;2029;2323;2447;
1419000;"Powiat płocki";441;425;468;557;555;624;771;839;645;698;805;790;778;678;746;892;
1420000;"Powiat płoński";500;458;481;547;587;636;669;798;570;615;629;604;568;517;511;644;
1421000;"Powiat pruszkowski";1316;1180;1282;1590;1487;1563;1520;2262;1913;1883;2039;2005;1772;1668;1768;1995;
1422000;"Powiat przasnyski";254;189;235;277;243;271;337;437;370;319;373;328;287;298;290;348;
1423000;"Powiat przysuski";196;141;149;174;222;235;265;319;279;268;270;299;282;250;249;285;
1424000;"Powiat pułtuski";276;285;304;311;372;384;353;521;315;370;397;433;331;306;367;419;
1425000;"Powiat radomski";696;579;713;908;858;965;1081;1238;1097;1111;1140;1119;1201;1164;1149;1362;
1426000;"Powiat siedlecki";383;272;264;329;367;436;449;562;451;426;498;462;399;451;421;580;
1427000;"Powiat sierpecki";283;248;277;315;318;336;394;377;322;334;357;368;318;326;285;366;
1428000;"Powiat sochaczewski";461;379;401;445;511;539;560;697;625;589;599;584;603;538;578;644;
1429000;"Powiat sokołowski";239;229;231;289;285;276;295;423;338;313;356;301;274;259;269;305;
1430000;"Powiat szydłowiecki";195;161;227;274;285;321;310;392;299;357;441;362;386;378;359;480;
