"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0604000;"Powiat hrubieszowski";1780,06;1795,42;1889,41;1930,63;2038,50;2195,60;2397,30;2595,21;2748,08;2967,86;3109,48;3116,46;3194,54;3275,78;3425,56;3572,95;;
0605000;"Powiat janowski";1673,03;1741,61;1832,11;1911,90;1965,57;2091,05;2286,58;2357,98;2615,62;2826,82;2972,10;3100,51;3321,20;3436,38;3485,33;3657,09;;
0606000;"Powiat krasnostawski";1746,44;1786,44;1875,20;1943,03;2069,11;2298,87;2541,52;2607,10;2805,57;2983,35;3060,62;3128,85;3236,28;3315,19;3412,40;3619,20;;
0607000;"Powiat kraśnicki";1719,08;1805,99;1912,75;1930,26;2014,44;2159,55;2365,43;2388,93;2569,07;2721,15;2871,55;2953,64;3125,11;3197,23;3327,58;3459,00;;
0608000;"Powiat lubartowski";1682,56;1756,07;1826,27;1907,49;2008,64;2169,07;2463,30;2566,02;2746,86;2858,35;2888,47;2993,79;3089,12;3144,70;3237,98;3419,63;;
0609000;"Powiat lubelski";1715,90;1760,62;1880,39;1947,03;2027,08;2239,56;2441,73;2538,59;2657,52;2798,89;2946,90;3029,43;3141,58;3239,53;3308,85;3527,13;;
0610000;"Powiat łęczyński";3043,88;3108,53;3240,27;3454,18;3448,71;3655,76;4133,75;4417,20;4428,15;4758,24;4942,31;5138,84;5375,67;5112,84;5294,68;5512,40;;
0611000;"Powiat łukowski";1611,35;1671,82;1738,95;1809,66;1949,60;2126,95;2371,79;2451,27;2585,92;2707,26;2764,56;2883,30;2955,72;3065,51;3238,34;3403,31;;
0612000;"Powiat opolski";1775,14;1839,54;1918,51;1939,72;2018,90;2193,68;2444,77;2579,52;2721,60;2839,48;2991,25;3020,99;3129,37;3257,97;3344,45;3490,05;;
0613000;"Powiat parczewski";1670,96;1740,20;1848,49;1946,46;1995,22;2195,87;2413,25;2520,65;2678,25;2883,33;2994,80;3037,61;3169,06;3217,95;3352,33;3565,96;;
0614000;"Powiat puławski";2087,67;2110,97;2238,68;2399,71;2503,08;2689,62;3043,07;3178,30;3235,16;3542,20;3662,83;3785,23;3855,51;4022,67;4160,35;4440,23;;
0615000;"Powiat radzyński";1811,30;1888,95;1983,41;2029,21;2118,22;2231,93;2461,63;2596,92;2723,52;2853,46;2966,60;3169,19;3206,39;3243,52;3387,21;3598,62;;
0616000;"Powiat rycki";1715,91;1788,47;1867,18;1940,70;2022,99;2184,01;2409,35;2533,13;2746,58;2837,68;2912,71;3050,99;3101,76;3207,52;3339,39;3544,04;;
0617000;"Powiat świdnicki";1781,19;1866,58;1957,88;2022,02;2137,72;2344,74;2691,15;2791,36;2885,70;3124,46;3491,18;3620,47;3847,83;4050,02;4109,67;4312,35;;
0618000;"Powiat tomaszowski";1681,71;1721,63;1790,56;1854,38;1942,25;2099,05;2318,00;2433,30;2610,51;2739,50;2860,83;2931,59;3034,51;3144,81;3256,18;3405,09;;
0619000;"Powiat włodawski";1772,17;1838,50;1869,90;1887,37;1960,40;2142,24;2428,65;2572,52;2744,77;2898,66;3032,38;3073,43;3174,79;3267,12;3389,98;3519,39;;
0620000;"Powiat zamojski";1554,29;1590,52;1669,18;1754,81;1833,76;1969,60;2219,60;2350,53;2548,07;2726,29;2778,35;2870,16;3005,11;3021,19;3243,03;3242,06;;
0661000;"Powiat m.Biała Podlaska";1818,70;1834,22;1994,06;2111,78;2230,17;2371,55;2649,61;2853,38;3112,71;3305,79;3370,69;3461,96;3539,80;3643,59;3782,03;3763,62;;
0662000;"Powiat m.Chełm";1897,69;1951,04;1971,97;1987,04;2077,69;2263,06;2521,72;2683,17;2829,46;2942,39;3099,95;3184,22;3259,18;3371,93;3537,53;3689,33;;
0663000;"Powiat m.Lublin";2145,22;2207,83;2323,15;2419,23;2545,84;2762,84;3076,91;3178,15;3489,07;3606,97;3710,80;3820,91;3955,65;4060,17;4169,46;4431,61;;
0664000;"Powiat m.Zamość";1970,57;1994,35;2107,99;2146,17;2359,35;2643,00;2934,69;3073,42;2991,81;3163,05;3267,28;3410,42;3511,40;3684,12;3794,50;3954,10;;
0801000;"Powiat gorzowski";2099,55;2097,63;2221,83;2217,31;2342,37;2650,26;2803,77;2919,63;3069,29;3276,48;3408,69;3524,85;3597,06;3818,44;3882,12;4090,10;;
0802000;"Powiat krośnieński";1871,90;1868,10;1933,32;2021,99;2171,50;2389,68;2608,40;2725,00;2799,25;3026,18;3160,41;3232,97;3351,05;3503,74;3835,52;3996,47;;
0803000;"Powiat międzyrzecki";1790,12;1842,27;1924,68;2027,83;2072,84;2285,92;2521,23;2644,90;2820,99;2988,21;3116,31;3216,20;3345,15;3466,06;3583,99;3768,95;;
0804000;"Powiat nowosolski";1700,79;1754,94;1813,73;1888,38;1942,99;2127,09;2380,12;2669,30;2804,18;2976,30;3089,18;3253,97;3372,90;3507,98;3661,03;3914,15;;
0805000;"Powiat słubicki";2030,82;2087,91;2118,64;2067,48;2143,40;2264,63;2536,29;2733,88;2880,01;3068,31;3133,88;3282,94;3454,74;3534,54;3683,72;3718,52;;
0806000;"Powiat strzelecko-drezdenecki";1813,98;1882,31;2004,15;2077,67;2211,20;2354,42;2593,67;2665,56;2892,36;3030,54;3132,48;3261,10;3410,80;3552,74;3689,38;3819,16;;
0807000;"Powiat sulęciński";1649,04;1650,09;1731,52;1765,74;1837,51;1954,43;2130,99;2317,43;2414,19;2620,65;2716,04;2740,65;2925,57;3019,27;3161,56;3468,90;;
0808000;"Powiat świebodziński";1619,22;1736,40;1825,62;1957,86;2016,88;2226,14;2458,84;2520,07;2640,20;2858,26;2931,56;3104,58;3308,49;3455,57;3712,08;3968,58;;
0809000;"Powiat zielonogórski";1858,91;1947,03;2052,52;2171,40;2238,08;2475,25;2696,63;2765,05;2895,29;3073,28;3373,25;3320,76;3408,24;3699,79;3810,06;4067,93;;
0810000;"Powiat żagański";1737,05;1751,22;1813,73;1872,44;1928,76;2132,21;2316,79;2426,68;2560,00;2719,65;2889,16;3001,13;3125,35;3249,08;3428,40;3587,59;;
0811000;"Powiat żarski";1912,92;1984,90;2072,01;2186,90;2315,16;2526,79;2760,46;2928,90;3084,63;3276,98;3445,53;3501,25;3596,66;3712,82;3925,75;4067,66;;
0812000;"Powiat wschowski";1641,26;1668,68;1719,98;1806,28;1905,13;2138,36;2420,74;2534,57;2625,94;2822,65;2983,88;3006,82;3130,04;3233,14;3359,68;3553,21;;
