"Kod";"Nazwa";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";
1819000;"Powiat strzyżowski";3002;0;0;;
1820000;"Powiat tarnobrzeski";0;0;0;;
1821000;"Powiat leski";0;0;0;;
1861000;"Powiat m.Krosno";3964;3687;4019;;
1862000;"Powiat m.Przemyśl";3498;3685;3798;;
1863000;"Powiat m.Rzeszów";4684;4483;4600;;
1864000;"Powiat m.Tarnobrzeg";3124;0;0;;
2001000;"Powiat augustowski";3893;3930;3860;;
2002000;"Powiat białostocki";3737;3915;3732;;
2003000;"Powiat bielski";0;0;0;;
2004000;"Powiat grajewski";2964;3061;3001;;
2005000;"Powiat hajnowski";0;0;0;;
2006000;"Powiat kolneński";0;0;0;;
2007000;"Powiat łomżyński";0;0;0;;
2008000;"Powiat moniecki";0;0;0;;
2009000;"Powiat sejneński";0;0;3276;;
2010000;"Powiat siemiatycki";0;3323;0;;
2011000;"Powiat sokólski";3251;3007;3453;;
2012000;"Powiat suwalski";2699;0;0;;
2013000;"Powiat wysokomazowiecki";0;4647;0;;
2014000;"Powiat zambrowski";3082;3293;3316;;
2061000;"Powiat m.Białystok";4693;4503;4711;;
2062000;"Powiat m.Łomża";3480;3728;3601;;
2063000;"Powiat m.Suwałki";3629;3708;3738;;
2201000;"Powiat bytowski";3562;0;2849;;
2202000;"Powiat chojnicki";3024;0;3697;;
2203000;"Powiat człuchowski";0;0;0;;
2204000;"Powiat gdański";4197;4422;4489;;
2205000;"Powiat kartuski";3422;3461;3737;;
2206000;"Powiat kościerski";3876;3974;4439;;
2207000;"Powiat kwidzyński";3467;3215;4094;;
2208000;"Powiat lęborski";3023;3254;2808;;
2209000;"Powiat malborski";3513;3647;3596;;
2210000;"Powiat nowodworski";6198;8587;6163;;
2211000;"Powiat pucki";4648;4763;4723;;
2212000;"Powiat słupski";3317;3653;4536;;
2213000;"Powiat starogardzki";4150;4335;4283;;
2214000;"Powiat tczewski";3692;3616;3800;;
2215000;"Powiat wejherowski";4204;4102;4305;;
2216000;"Powiat sztumski";2720;2719;0;;
2261000;"Powiat m.Gdańsk";5447;5635;6120;;
2262000;"Powiat m.Gdynia";6023;5828;6204;;
2263000;"Powiat m.Słupsk";3608;3598;3731;;
2264000;"Powiat m.Sopot";10822;10802;13158;;
2401000;"Powiat będziński";4112;3899;4051;;
2402000;"Powiat bielski";3100;3200;3149;;
2403000;"Powiat cieszyński";3512;4829;6775;;
2404000;"Powiat częstochowski";0;0;0;;
2405000;"Powiat gliwicki";3323;3365;3142;;
2406000;"Powiat kłobucki";0;0;3583;;
2407000;"Powiat lubliniecki";2341;2864;3063;;
2408000;"Powiat mikołowski";4238;4277;4181;;
2409000;"Powiat myszkowski";0;0;0;;
2410000;"Powiat pszczyński";3445;4001;3994;;
2411000;"Powiat raciborski";0;2120;2339;;
2412000;"Powiat rybnicki";0;0;0;;
2413000;"Powiat tarnogórski";0;4139;3378;;
2414000;"Powiat bieruńsko-lędziński";2988;2778;2782;;
2415000;"Powiat wodzisławski";0;0;2821;;
2416000;"Powiat zawierciański";0;0;0;;
2417000;"Powiat żywiecki";0;0;0;;
2461000;"Powiat m.Bielsko-Biała";4200;4242;4407;;
2462000;"Powiat m.Bytom";2603;2716;2287;;
2463000;"Powiat m.Chorzów";3241;3194;3938;;
2464000;"Powiat m.Częstochowa";4133;4175;4551;;
2465000;"Powiat m.Dąbrowa Górnicza";2453;4506;4400;;
2466000;"Powiat m.Gliwice";4252;4633;4381;;
2467000;"Powiat m.Jastrzębie-Zdrój";0;3794;2685;;
2468000;"Powiat m.Jaworzno";3265;3425;3244;;
2469000;"Powiat m.Katowice";4262;3318;3897;;
2470000;"Powiat m.Mysłowice";3598;3590;3540;;
2471000;"Powiat m.Piekary Śląskie";0;3658;2430;;
2472000;"Powiat m.Ruda Śląska";3582;3485;3467;;
2473000;"Powiat m.Rybnik";2821;4183;4153;;
2474000;"Powiat m.Siemianowice Śląskie";2516;2467;4068;;
2475000;"Powiat m.Sosnowiec";3566;3581;3897;;
2476000;"Powiat m.Świętochłowice";3495;3560;3714;;
2477000;"Powiat m.Tychy";4297;4304;4305;;
2478000;"Powiat m.Zabrze";0;3002;3880;;
2479000;"Powiat m.Żory";2822;3332;3967;;
2601000;"Powiat buski";0;0;3600;;
2602000;"Powiat jędrzejowski";0;0;0;;
2603000;"Powiat kazimierski";0;0;0;;
2604000;"Powiat kielecki";0;0;0;;
2605000;"Powiat konecki";0;2636;2544;;
2606000;"Powiat opatowski";0;0;0;;
2607000;"Powiat ostrowiecki";3319;3270;0;;
2608000;"Powiat pińczowski";0;0;0;;
2609000;"Powiat sandomierski";0;0;0;;
2610000;"Powiat skarżyski";2315;2312;2275;;
2611000;"Powiat starachowicki";3334;3261;3398;;
2612000;"Powiat staszowski";0;0;0;;
2613000;"Powiat włoszczowski";0;0;0;;
2661000;"Powiat m.Kielce";4579;4669;4729;;
2801000;"Powiat bartoszycki";0;2675;0;;
2802000;"Powiat braniewski";0;3244;3241;;
2803000;"Powiat działdowski";3202;3051;2950;;
2804000;"Powiat elbląski";2791;0;2951;;
2805000;"Powiat ełcki";3396;3147;3454;;
2806000;"Powiat giżycki";3596;3997;4671;;
2807000;"Powiat iławski";3249;3298;3302;;
2808000;"Powiat kętrzyński";3009;3670;3946;;
2809000;"Powiat lidzbarski";0;2550;2531;;
2810000;"Powiat mrągowski";3592;3518;3403;;
2811000;"Powiat nidzicki";2755;2748;2765;;
2812000;"Powiat nowomiejski";0;0;3133;;
2813000;"Powiat olecki";2894;3574;3616;;
2814000;"Powiat olsztyński";3908;4113;4058;;
2815000;"Powiat ostródzki";3449;3745;4114;;
2816000;"Powiat piski";2810;3196;3193;;
2817000;"Powiat szczycieński";2900;2985;3001;;
2818000;"Powiat gołdapski";2760;2870;2686;;
2819000;"Powiat węgorzewski";0;3205;0;;
2861000;"Powiat m.Elbląg";3740;3807;4305;;
2862000;"Powiat m.Olsztyn";4637;4722;4696;;
3001000;"Powiat chodzieski";0;0;3392;;
3002000;"Powiat czarnkowsko-trzcianecki";3309;3106;2547;;
3003000;"Powiat gnieźnieński";3639;3991;3973;;
3004000;"Powiat gostyński";3117;3497;3588;;
3005000;"Powiat grodziski";3167;3287;3336;;
3006000;"Powiat jarociński";2901;3324;3103;;
