"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
1217000;"Powiat tatrzański";0;0;0;0;1;0;0;0;1;0;0;
1218000;"Powiat wadowicki";1;0;0;0;0;1;0;0;0;0;0;
1219000;"Powiat wielicki";1;2;0;1;0;1;1;0;0;0;1;
1261000;"Powiat m.Kraków";3;4;8;4;6;2;3;1;0;0;1;
1262000;"Powiat m.Nowy Sącz";0;0;0;0;0;0;1;0;0;0;0;
1263000;"Powiat m.Tarnów";1;0;0;0;0;1;0;0;0;0;0;
1401000;"Powiat białobrzeski";0;1;0;0;0;0;0;0;0;0;1;
1402000;"Powiat ciechanowski";0;1;0;0;0;0;0;0;0;0;0;
1403000;"Powiat garwoliński";0;1;0;1;0;0;0;0;0;0;0;
1404000;"Powiat gostyniński";1;0;0;0;3;0;0;0;0;0;0;
1405000;"Powiat grodziski";0;1;0;0;1;1;0;0;0;0;0;
1406000;"Powiat grójecki";0;0;1;0;1;0;0;0;0;0;0;
1407000;"Powiat kozienicki";2;0;1;0;0;0;0;0;0;0;0;
1408000;"Powiat legionowski";1;0;0;0;0;1;0;0;0;0;0;
1410000;"Powiat łosicki";0;0;0;0;0;0;1;0;0;0;0;
1411000;"Powiat makowski";0;0;0;0;0;1;0;0;0;0;0;
1412000;"Powiat miński";1;0;0;0;0;0;0;0;0;0;1;
1413000;"Powiat mławski";1;0;0;0;0;0;0;0;0;0;0;
1414000;"Powiat nowodworski";0;1;1;0;1;0;0;0;0;1;1;
1416000;"Powiat ostrowski";0;0;0;0;0;1;0;0;0;0;0;
1417000;"Powiat otwocki";0;2;1;1;1;0;0;0;0;0;0;
1418000;"Powiat piaseczyński";1;2;0;0;0;1;1;0;0;0;0;
1419000;"Powiat płocki";1;0;0;0;2;1;0;0;1;0;0;
1420000;"Powiat płoński";0;0;0;1;1;0;0;0;0;0;0;
1421000;"Powiat pruszkowski";1;0;0;1;1;0;0;0;0;0;0;
1422000;"Powiat przasnyski";0;0;0;0;0;1;0;0;0;0;0;
1424000;"Powiat pułtuski";1;0;0;1;0;0;0;1;0;0;0;
1425000;"Powiat radomski";0;0;1;3;0;0;0;0;0;0;0;
1426000;"Powiat siedlecki";0;0;0;0;0;1;0;0;1;0;0;
1427000;"Powiat sierpecki";0;0;0;0;0;0;1;0;0;0;0;
1429000;"Powiat sokołowski";0;0;0;0;0;1;0;0;0;0;0;
1433000;"Powiat węgrowski";0;0;0;1;0;0;0;0;0;0;0;
1434000;"Powiat wołomiński";2;2;2;0;3;1;0;1;0;0;0;
1435000;"Powiat wyszkowski";0;0;0;0;0;1;0;0;0;0;0;
1438000;"Powiat żyrardowski";0;0;0;1;0;0;0;0;0;0;0;
1461000;"Powiat m.Ostrołęka";1;0;0;1;0;0;0;0;0;1;0;
1462000;"Powiat m.Płock";1;0;1;0;0;0;0;0;1;0;0;
1463000;"Powiat m.Radom";0;0;0;0;0;3;1;0;0;0;1;
1464000;"Powiat m.Siedlce";0;1;0;0;0;0;0;0;0;0;0;
1465000;"Powiat m. st. Warszawa";7;5;3;8;5;11;7;1;1;0;1;
1601000;"Powiat brzeski";1;0;0;1;0;0;0;0;1;0;0;
1602000;"Powiat głubczycki";0;1;0;0;0;0;0;0;0;0;0;
1603000;"Powiat kędzierzyńsko-kozielski";0;0;0;1;1;0;1;0;0;0;0;
1604000;"Powiat kluczborski";0;0;1;0;1;0;0;0;0;0;0;
1605000;"Powiat krapkowicki";2;1;0;0;1;1;0;0;0;0;0;
1606000;"Powiat namysłowski";1;0;0;0;0;0;1;0;0;0;0;
