"Kod";"Nazwa";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2008;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2009;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2010;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2011;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2012;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2013;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2014;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2015;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2016;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2017;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2018;[%]";
0601000;"Powiat bialski";6,6;10,1;5,6;9,3;6,3;6,2;7,0;6,9;7,1;6,4;7,4;
0602000;"Powiat biłgorajski";3,3;10,4;4,5;8,8;6,6;6,0;6,2;7,1;7,5;6,1;6,3;
0603000;"Powiat chełmski";8,7;7,9;7,7;11,8;6,7;9,4;8,1;9,4;8,4;9,7;8,8;
0604000;"Powiat hrubieszowski";4,8;6,4;4,8;10,5;5,5;5,5;6,3;6,0;6,6;7,0;6,9;
0605000;"Powiat janowski";4,9;13,6;6,3;10,2;6,7;5,1;7,0;7,6;6,5;7,1;7,0;
0606000;"Powiat krasnostawski";8,0;7,8;7,0;12,2;8,1;6,8;7,7;7,6;8,7;8,8;8,8;
0607000;"Powiat kraśnicki";6,9;7,5;6,3;8,9;5,9;6,2;6,9;7,0;7,6;7,2;7,0;
0608000;"Powiat lubartowski";6,8;10,0;5,7;10,3;6,4;7,3;7,2;7,4;7,3;7,9;6,7;
0609000;"Powiat lubelski";5,5;7,9;6,6;8,5;6,8;6,2;7,3;7,3;7,7;7,4;6,2;
0610000;"Powiat łęczyński";9,3;7,8;7,3;8,8;7,7;8,1;8,2;8,5;8,6;8,2;7,1;
0611000;"Powiat łukowski";6,5;8,7;5,2;10,1;7,6;6,4;7,3;6,7;7,3;6,8;6,6;
0612000;"Powiat opolski";8,0;8,6;6,7;10,6;7,5;6,4;8,4;7,4;8,2;7,6;6,9;
0613000;"Powiat parczewski";6,0;7,2;5,7;11,0;6,4;6,8;7,4;8,0;7,7;7,4;7,5;
0614000;"Powiat puławski";6,8;7,8;6,5;10,7;6,4;6,6;7,0;7,1;6,3;6,4;6,3;
0615000;"Powiat radzyński";7,5;8,8;6,5;10,4;6,3;6,9;7,8;7,7;7,2;7,4;8,1;
0616000;"Powiat rycki";6,5;8,2;9,3;10,1;6,6;7,2;7,9;7,3;7,2;7,8;6,2;
0617000;"Powiat świdnicki";7,2;7,4;7,1;11,9;8,2;7,7;8,6;8,0;8,2;7,6;7,8;
0618000;"Powiat tomaszowski";3,1;7,2;4,7;10,3;5,9;5,8;6,3;5,8;5,8;6,2;6,2;
0619000;"Powiat włodawski";8,3;7,9;7,3;9,0;7,0;6,6;8,4;7,6;7,6;8,3;8,2;
0620000;"Powiat zamojski";4,6;7,1;5,5;10,4;7,3;6,3;7,1;7,1;6,8;6,8;6,3;
0661000;"Powiat m.Biała Podlaska";8,3;7,5;5,7;8,5;7,1;6,5;7,9;6,4;7,3;6,3;9,0;
0662000;"Powiat m.Chełm";9,5;8,1;7,8;10,8;8,1;8,7;8,0;8,2;7,7;7,7;10,1;
0663000;"Powiat m.Lublin";7,5;7,7;5,9;9,8;6,4;6,9;7,8;7,3;7,3;6,5;9,1;
0664000;"Powiat m.Zamość";5,9;7,6;5,5;9,2;5,6;6,3;7,5;6,3;6,6;6,2;8,4;
0801000;"Powiat gorzowski";14,3;9,0;6,3;9,3;7,3;7,4;8,6;8,0;8,0;7,4;7,8;
0802000;"Powiat krośnieński";14,8;14,6;7,0;11,1;7,5;7,7;9,2;8,8;8,5;7,8;8,0;
0803000;"Powiat międzyrzecki";14,3;12,9;6,1;10,7;7,1;6,9;8,2;8,0;7,3;7,3;9,3;
0804000;"Powiat nowosolski";11,7;10,6;8,2;13,2;8,8;9,0;9,2;8,7;9,2;8,9;8,9;
0805000;"Powiat słubicki";13,8;9,6;7,0;15,3;8,3;7,4;7,4;7,0;7,8;6,7;8,9;
0806000;"Powiat strzelecko-drezdenecki";15,9;11,0;7,6;12,3;8,4;7,0;8,7;7,5;7,5;7,0;6,9;
0807000;"Powiat sulęciński";24,7;9,3;8,1;10,8;7,7;7,3;9,5;8,7;10,9;9,2;8,5;
0808000;"Powiat świebodziński";22,4;11,9;7,2;13,2;7,0;6,3;7,2;7,4;6,7;7,2;7,1;
0809000;"Powiat zielonogórski";15,4;9,5;6,8;11,0;7,3;7,0;9,0;8,9;8,6;8,5;7,7;
0810000;"Powiat żagański";12,5;14,7;6,9;11,1;7,4;6,9;8,2;7,5;8,2;7,6;7,4;
0811000;"Powiat żarski";20,4;11,5;6,6;12,8;7,6;7,5;8,1;7,5;8,0;7,9;8,8;
0812000;"Powiat wschowski";9,2;9,7;6,2;9,7;8,2;7,5;8,3;8,0;7,2;6,7;7,0;
0861000;"Powiat m.Gorzów Wielkopolski";7,7;8,7;6,2;10,4;6,2;7,0;8,2;7,5;7,4;6,8;10,0;
