"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
2862000;"Powiat m.Olsztyn";1649;2086;2197;1871;1859;2142;1826;1582;1475;1581;1680;
3001000;"Powiat chodzieski";416;423;554;406;456;437;442;380;375;421;402;
3002000;"Powiat czarnkowsko-trzcianecki";599;647;806;613;773;689;675;603;577;594;712;
3003000;"Powiat gnieźnieński";1319;1304;1480;1357;1217;1361;1394;1221;1031;1025;1217;
3004000;"Powiat gostyński";619;699;839;604;683;656;568;647;583;604;720;
3005000;"Powiat grodziski";348;411;484;392;411;416;459;350;401;377;465;
3006000;"Powiat jarociński";585;618;737;578;681;594;628;506;511;501;613;
3007000;"Powiat kaliski";499;522;616;540;544;530;600;551;541;523;697;
3008000;"Powiat kępiński";443;483;555;437;454;427;439;431;402;438;555;
3009000;"Powiat kolski";508;506;639;604;660;554;540;552;534;533;548;
3010000;"Powiat koniński";878;876;985;905;930;1015;1073;962;1046;1261;1420;
3011000;"Powiat kościański";613;620;712;702;586;683;645;590;561;583;677;
3012000;"Powiat krotoszyński";545;649;628;534;548;573;535;533;455;485;545;
3013000;"Powiat leszczyński";496;449;527;409;434;490;460;492;444;470;545;
3014000;"Powiat międzychodzki";348;363;360;369;308;304;327;308;260;224;301;
3015000;"Powiat nowotomyski";624;665;745;600;652;697;645;661;570;544;662;
3016000;"Powiat obornicki";479;441;536;483;475;496;501;429;409;467;593;
3017000;"Powiat ostrowski";1293;1458;1532;1388;1352;1383;1329;1195;1103;1199;1571;
3018000;"Powiat ostrzeszowski";479;532;572;452;521;481;490;456;444;501;550;
3019000;"Powiat pilski";1216;1143;1386;1223;1030;1184;1186;1015;975;1036;1235;
3020000;"Powiat pleszewski";469;425;629;401;582;486;552;433;405;396;478;
3021000;"Powiat poznański";3468;3911;4518;4152;4308;4537;4542;4078;3775;4065;4674;
3022000;"Powiat rawicki";395;468;559;471;447;481;430;444;445;479;499;
3023000;"Powiat słupecki";403;480;538;435;534;502;542;492;494;511;576;
3024000;"Powiat szamotulski";623;719;915;727;785;740;712;631;607;636;791;
3025000;"Powiat średzki";444;471;522;517;524;569;500;470;452;488;514;
3026000;"Powiat śremski";579;521;599;504;550;550;554;493;470;472;517;
3027000;"Powiat turecki";527;592;671;576;587;584;609;543;571;664;852;
