"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";
2465000;"Powiat m.Dąbrowa Górnicza";809;860;906;982;1052;1159;1261;1303;1402;1499;1325;
2466000;"Powiat m.Gliwice";2146;2292;2415;2532;2654;2829;3024;3117;3224;3276;2775;
2467000;"Powiat m.Jastrzębie-Zdrój";267;278;288;303;310;329;355;370;394;411;339;
2468000;"Powiat m.Jaworzno";324;336;402;453;501;559;613;652;735;800;761;
2469000;"Powiat m.Katowice";5996;6257;6702;7146;7810;8611;9336;9744;10654;11229;10013;
2470000;"Powiat m.Mysłowice";506;522;541;560;608;656;705;730;786;822;709;
2471000;"Powiat m.Piekary Śląskie";212;222;241;252;285;334;397;411;448;463;416;
2472000;"Powiat m.Ruda Śląska";477;513;556;593;636;687;730;760;798;842;782;
2473000;"Powiat m.Rybnik";822;887;966;1035;1100;1201;1273;1281;1346;1353;1198;
2474000;"Powiat m.Siemianowice Śląskie";389;405;427;446;470;509;534;554;576;562;488;
2475000;"Powiat m.Sosnowiec";1166;1207;1333;1395;1503;1605;1703;1780;2000;2095;1805;
2476000;"Powiat m.Świętochłowice";192;199;205;225;237;259;286;298;318;348;318;
2477000;"Powiat m.Tychy";986;1044;1111;1192;1272;1398;1483;1547;1638;1731;1569;
2478000;"Powiat m.Zabrze";914;941;969;1030;1115;1178;1242;1298;1346;1326;1076;
2479000;"Powiat m.Żory";287;310;328;353;381;409;451;466;499;512;470;
2601000;"Powiat buski";130;132;141;144;146;160;164;170;178;184;148;
2602000;"Powiat jędrzejowski";127;137;152;157;166;183;191;192;200;257;260;
2603000;"Powiat kazimierski";37;40;46;48;52;57;63;64;68;72;71;
2604000;"Powiat kielecki";280;297;319;354;384;468;530;541;602;656;663;
2605000;"Powiat konecki";176;178;177;185;196;209;223;232;249;254;230;
2606000;"Powiat opatowski";64;64;69;68;72;78;82;81;90;91;76;
2607000;"Powiat ostrowiecki";335;338;351;349;362;388;414;420;456;486;418;
2608000;"Powiat pińczowski";59;63;68;70;74;93;98;100;106;114;94;
2609000;"Powiat sandomierski";211;220;227;233;244;257;276;279;298;318;266;
2610000;"Powiat skarżyski";193;201;207;218;222;231;247;243;270;294;246;
2611000;"Powiat starachowicki";292;292;303;299;305;315;321;325;337;359;296;
2612000;"Powiat staszowski";117;123;126;126;130;139;152;159;165;175;152;
2613000;"Powiat włoszczowski";65;63;65;73;89;95;101;100;104;110;100;
2661000;"Powiat m.Kielce";2200;2260;2368;2468;2628;2833;3011;3108;3359;3543;2941;
2801000;"Powiat bartoszycki";142;147;156;161;173;172;178;182;189;196;166;
2802000;"Powiat braniewski";109;108;113;125;134;146;159;164;176;192;163;
2803000;"Powiat działdowski";114;123;122;131;147;159;156;165;178;184;152;
2804000;"Powiat elbląski";174;186;191;210;220;238;245;234;246;268;231;
2805000;"Powiat ełcki";220;228;233;244;254;270;288;293;315;364;316;
2806000;"Powiat giżycki";198;200;200;211;227;240;244;246;252;266;214;
2807000;"Powiat iławski";241;259;274;286;294;318;317;320;337;348;320;
2808000;"Powiat kętrzyński";89;91;93;109;120;138;142;149;158;158;138;
2809000;"Powiat lidzbarski";89;95;108;116;133;139;146;145;157;161;143;
2810000;"Powiat mrągowski";201;207;212;224;237;254;261;267;303;333;300;
2811000;"Powiat nidzicki";84;87;92;98;107;113;118;117;122;133;124;
2812000;"Powiat nowomiejski";68;73;84;90;104;112;116;123;144;154;157;
2813000;"Powiat olecki";106;111;120;126;130;130;129;133;148;149;103;
2814000;"Powiat olsztyński";406;428;448;491;530;602;614;613;670;726;671;
2815000;"Powiat ostródzki";314;332;363;390;405;441;464;466;496;525;437;
2816000;"Powiat piski";85;86;91;93;96;98;100;103;109;116;84;
2817000;"Powiat szczycieński";170;177;185;188;196;198;208;211;237;240;204;
2818000;"Powiat gołdapski";76;74;76;83;88;94;96;96;97;104;76;
2819000;"Powiat węgorzewski";64;63;68;70;72;81;89;88;94;91;82;
2861000;"Powiat m.Elbląg";635;673;696;747;787;821;840;858;919;992;795;
2862000;"Powiat m.Olsztyn";1728;1796;1908;2008;2149;2334;2489;2540;2834;3020;2603;
3001000;"Powiat chodzieski";178;180;190;201;221;233;252;256;270;289;255;
3002000;"Powiat czarnkowsko-trzcianecki";263;272;283;323;346;386;408;409;425;431;337;
3003000;"Powiat gnieźnieński";520;530;560;594;662;710;752;778;839;911;819;
3004000;"Powiat gostyński";235;247;261;274;293;297;320;341;384;412;397;
3005000;"Powiat grodziski";177;186;202;212;233;263;283;292;334;359;343;
3006000;"Powiat jarociński";189;201;209;228;254;262;295;298;333;353;338;
3007000;"Powiat kaliski";203;231;257;274;305;326;340;348;387;419;408;
3008000;"Powiat kępiński";180;185;199;208;228;238;265;289;326;347;317;
3009000;"Powiat kolski";163;167;180;192;202;212;217;214;232;236;203;
3010000;"Powiat koniński";150;165;193;224;262;300;326;334;351;378;379;
3011000;"Powiat kościański";313;333;348;378;401;432;461;468;506;542;491;
3012000;"Powiat krotoszyński";187;220;238;256;279;309;332;354;401;448;433;
3013000;"Powiat leszczyński";190;206;225;243;272;288;310;313;349;387;357;
3014000;"Powiat międzychodzki";129;140;148;153;160;171;183;193;205;214;193;
3015000;"Powiat nowotomyski";308;323;344;364;400;444;490;517;548;568;526;
3016000;"Powiat obornicki";258;263;281;302;320;356;393;406;458;489;478;
3017000;"Powiat ostrowski";643;680;721;770;852;929;971;1007;1087;1165;1049;
3018000;"Powiat ostrzeszowski";151;162;174;181;196;209;244;247;278;298;285;
3019000;"Powiat pilski";609;620;648;676;707;744;784;802;861;895;728;
3020000;"Powiat pleszewski";144;166;198;196;209;231;254;259;277;279;246;
3021000;"Powiat poznański";2925;3187;3527;3832;4229;4781;5337;5633;6167;6670;6555;
3022000;"Powiat rawicki";187;199;223;234;261;286;299;316;349;370;370;
3023000;"Powiat słupecki";146;163;178;192;203;214;231;229;245;260;238;
3024000;"Powiat szamotulski";399;426;440;475;511;559;592;613;642;690;654;
3025000;"Powiat średzki";196;220;234;252;275;307;328;360;408;435;430;
3026000;"Powiat śremski";227;258;265;283;307;335;356;375;397;412;371;
3027000;"Powiat turecki";164;172;177;189;206;216;232;243;268;288;244;
3028000;"Powiat wągrowiecki";168;173;179;195;219;238;253;261;297;321;311;
3029000;"Powiat wolsztyński";229;244;255;283;302;329;337;357;412;433;386;
3030000;"Powiat wrzesiński";293;313;349;377;423;454;477;483;520;535;500;
3031000;"Powiat złotowski";226;222;230;232;239;253;252;259;286;311;261;
3061000;"Powiat m.Kalisz";766;784;826;895;986;1070;1154;1171;1223;1295;1091;
3062000;"Powiat m.Konin";588;628;646;671;735;789;824;829;855;877;712;
3063000;"Powiat m.Leszno";591;619;645;674;711;788;854;879;956;1047;885;
3064000;"Powiat m.Poznań";11412;12159;13262;14504;16101;18162;20388;21019;23025;24523;21944;
3201000;"Powiat białogardzki";176;177;193;202;213;224;236;240;257;256;221;
3202000;"Powiat choszczeński";176;189;197;216;223;235;235;238;260;276;225;
3203000;"Powiat drawski";161;165;172;174;183;194;201;213;213;210;153;
3204000;"Powiat goleniowski";433;457;478;497;521;554;581;589;633;674;569;
3205000;"Powiat gryficki";217;232;248;256;261;275;281;281;302;318;270;
3206000;"Powiat gryfiński";416;431;442;459;490;515;539;540;564;592;466;
3207000;"Powiat kamieński";224;234;242;238;248;262;268;261;281;298;244;
3208000;"Powiat kołobrzeski";486;505;527;566;666;696;718;729;766;787;667;
3209000;"Powiat koszaliński";240;244;255;259;272;288;309;327;339;362;315;
3210000;"Powiat myśliborski";306;316;320;337;345;370;399;423;450;470;378;
3211000;"Powiat policki";501;546;575;601;649;699;738;775;817;865;773;
3212000;"Powiat pyrzycki";181;183;195;200;207;222;282;285;279;283;228;
3213000;"Powiat sławieński";198;208;221;237;256;268;280;282;300;307;251;
3214000;"Powiat stargardzki";538;571;597;629;669;715;750;765;809;844;677;
3215000;"Powiat szczecinecki";312;321;326;332;347;361;380;379;375;366;275;
3216000;"Powiat świdwiński";158;167;174;184;202;209;230;233;236;234;196;
3217000;"Powiat wałecki";196;202;203;213;223;248;254;262;274;278;196;
3218000;"Powiat łobeski";126;134;138;143;153;167;172;174;184;190;155;
3261000;"Powiat m.Koszalin";1047;1094;1156;1198;1252;1322;1397;1420;1500;1532;1204;
3262000;"Powiat m.Szczecin";5968;6273;6639;6945;7424;8038;8528;8671;9294;9918;8412;
3263000;"Powiat m.Świnoujście";296;298;307;316;327;337;358;363;378;389;300;
