"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
3010000;"Powiat koniński";15;18;32;29;34;44;23;2;0;1;1;
3011000;"Powiat kościański";21;21;22;30;24;31;28;5;2;1;2;
3012000;"Powiat krotoszyński";15;29;23;28;30;41;23;2;2;1;2;
3013000;"Powiat leszczyński";9;10;19;15;24;17;20;0;2;4;2;
3014000;"Powiat międzychodzki";7;16;9;9;12;17;16;0;1;0;1;
3015000;"Powiat nowotomyski";16;20;23;25;35;50;49;4;2;2;6;
3016000;"Powiat obornicki";10;14;24;30;26;36;41;3;1;1;3;
3017000;"Powiat ostrowski";27;46;54;51;80;84;66;18;8;10;6;
3018000;"Powiat ostrzeszowski";9;7;12;10;15;18;23;1;1;2;0;
3019000;"Powiat pilski";28;24;25;32;39;43;43;5;5;7;1;
3020000;"Powiat pleszewski";11;19;30;9;13;27;25;2;1;1;1;
3021000;"Powiat poznański";231;227;322;335;377;565;581;72;45;38;29;
3022000;"Powiat rawicki";4;13;26;16;29;26;20;2;0;0;1;
3023000;"Powiat słupecki";10;13;12;18;9;11;17;0;0;1;0;
3024000;"Powiat szamotulski";23;26;25;38;40;54;37;8;5;2;3;
3025000;"Powiat średzki";8;23;15;19;20;33;30;9;5;3;5;
3026000;"Powiat śremski";19;25;12;14;30;30;17;3;1;3;0;
3027000;"Powiat turecki";5;9;8;16;19;8;14;2;4;3;1;
3028000;"Powiat wągrowiecki";6;10;8;17;19;26;15;1;2;0;1;
3029000;"Powiat wolsztyński";11;15;11;29;23;31;14;1;1;3;0;
3030000;"Powiat wrzesiński";22;19;37;36;46;32;33;1;2;1;1;
3031000;"Powiat złotowski";14;2;13;11;7;13;5;4;3;0;1;
3061000;"Powiat m.Kalisz";42;30;64;62;102;94;96;18;11;12;9;
3062000;"Powiat m.Konin";43;43;36;33;67;52;56;10;6;4;3;
3063000;"Powiat m.Leszno";27;33;33;37;43;81;63;3;4;4;2;
3064000;"Powiat m.Poznań";792;963;1301;1455;1816;2332;2541;266;162;122;114;
3201000;"Powiat białogardzki";10;8;13;15;10;16;14;4;1;0;0;
3202000;"Powiat choszczeński";5;11;11;19;8;14;11;2;0;0;1;
3203000;"Powiat drawski";6;6;8;5;11;10;10;3;0;1;1;
3204000;"Powiat goleniowski";29;23;23;20;25;34;36;4;5;2;2;
3205000;"Powiat gryficki";12;16;17;13;14;20;11;1;4;0;1;
3206000;"Powiat gryfiński";11;14;19;15;35;20;25;4;3;3;2;
3207000;"Powiat kamieński";6;10;7;8;10;14;9;2;2;1;0;
3208000;"Powiat kołobrzeski";29;26;26;43;114;34;36;2;1;1;1;
3209000;"Powiat koszaliński";19;10;25;13;18;15;23;4;0;1;1;
3210000;"Powiat myśliborski";10;10;10;19;11;24;20;0;2;4;2;
3211000;"Powiat policki";38;36;36;41;68;71;44;8;7;3;1;
3212000;"Powiat pyrzycki";4;4;12;15;8;10;11;2;0;0;0;
3213000;"Powiat sławieński";9;11;14;19;24;20;18;1;0;2;1;
3214000;"Powiat stargardzki";28;32;28;36;40;42;43;4;3;8;1;
3215000;"Powiat szczecinecki";17;14;10;15;18;20;25;1;0;1;0;
3216000;"Powiat świdwiński";9;12;11;10;18;13;20;1;1;0;2;
3217000;"Powiat wałecki";4;5;2;9;15;25;6;2;0;0;0;
3218000;"Powiat łobeski";3;4;5;9;9;12;6;1;0;0;1;
3261000;"Powiat m.Koszalin";62;60;71;81;83;97;100;13;3;0;6;
3262000;"Powiat m.Szczecin";375;347;381;433;533;663;537;69;56;46;39;
3263000;"Powiat m.Świnoujście";18;11;11;12;15;11;18;4;2;1;1;
