"Kod";"Nazwa";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
1009000;"Powiat pajęczański";2620,17;2817,42;2950,74;3061,69;3107,48;3227,39;3339,61;3429,55;3530,89;3672,03;;
1010000;"Powiat piotrkowski";2228,74;2346,40;2463,77;2651,98;2804,34;2886,28;2957,04;3058,72;3196,29;3436,14;;
1011000;"Powiat poddębicki";2717,44;2908,49;3087,08;3294,65;3498,97;3690,42;3743,12;3900,35;4094,44;4387,98;;
1012000;"Powiat radomszczański";2182,42;2362,69;2470,64;2631,03;2727,27;2838,40;2994,84;3088,13;3220,16;3406,71;;
1013000;"Powiat rawski";2451,01;2664,06;2797,21;2908,69;3000,63;3058,13;3168,26;3304,09;3366,71;3561,95;;
1014000;"Powiat sieradzki";2492,09;2633,64;2766,04;2895,40;3004,55;3082,99;3205,91;3297,51;3453,10;3648,13;;
1015000;"Powiat skierniewicki";2487,44;2513,53;2651,10;2725,69;2850,60;2964,68;3167,86;3301,35;3467,73;3612,61;;
1016000;"Powiat tomaszowski";2386,32;2526,55;2745,64;2823,87;2955,16;3009,61;3094,40;3258,86;3295,07;3554,59;;
1017000;"Powiat wieluński";2276,32;2361,93;2458,98;2576,71;2778,75;2987,22;3148,95;3252,66;3383,38;3640,03;;
1018000;"Powiat wieruszowski";2307,55;2361,88;2460,96;2538,28;2620,86;2722,07;2797,73;2976,04;3094,11;3267,25;;
1019000;"Powiat zduńskowolski";2411,23;2536,23;2683,69;2788,39;2832,65;2986,98;3051,23;3146,61;3271,45;3533,99;;
1020000;"Powiat zgierski";2661,35;2743,16;2870,60;3100,15;3222,12;3301,43;3389,26;3573,69;3737,14;4017,73;;
1021000;"Powiat brzeziński";1992,51;2163,93;2379,47;2440,72;2559,61;2607,32;2647,73;2748,42;2901,50;3071,31;;
1061000;"Powiat m.Łódź";3002,12;3159,24;3243,15;3427,06;3568,84;3710,91;3837,47;4047,78;4230,12;4462,50;;
1062000;"Powiat m.Piotrków Trybunalski";2236,07;2357,31;2460,57;2577,18;2741,58;2769,22;2952,79;3107,13;3229,18;3446,86;;
1063000;"Powiat m.Skierniewice";2419,72;2584,82;2799,96;2916,61;2895,44;3082,48;3151,06;3218,53;3437,05;3598,89;;
1200000;"MAŁOPOLSKIE";2903,63;3057,71;3169,90;3332,98;3456,16;3574,22;3700,06;3906,96;4077,91;4347,10;;
1201000;"Powiat bocheński";2630,43;2832,06;2935,34;3128,68;3208,34;3230,64;3359,59;3464,39;3606,23;3783,80;;
1202000;"Powiat brzeski";2347,56;2461,69;2630,04;2707,98;2821,76;2928,51;3048,33;3171,11;3237,03;3446,38;;
1203000;"Powiat chrzanowski";2851,66;3094,20;2972,52;3122,27;3181,66;3323,83;3455,97;3554,03;3710,34;3878,27;;
1204000;"Powiat dąbrowski";2464,33;2573,42;2704,29;2829,59;2970,50;3054,85;3178,77;3245,29;3386,45;3652,45;;
1205000;"Powiat gorlicki";2492,53;2571,71;2632,27;2726,96;2847,79;2920,54;2952,40;3060,43;3178,84;3430,00;;
1206000;"Powiat krakowski";2867,13;3013,31;3195,30;3377,70;3571,36;3759,07;3856,94;4204,13;4509,18;4858,15;;
1207000;"Powiat limanowski";2374,83;2539,87;2604,64;2764,04;2865,98;2994,25;3115,85;3167,23;3259,44;3438,40;;
1208000;"Powiat miechowski";2449,56;2629,31;2781,90;2833,95;2924,58;2983,24;3094,46;3189,73;3249,28;3436,12;;
1209000;"Powiat myślenicki";2501,46;2605,31;2752,84;2783,41;2799,36;2917,16;3003,06;3094,21;3477,49;3745,92;;
